num,URL,Title,Post,tags,hubs
1,https://habr.com/ru/post/1,Wiki-FAQ для Хабрахабра,"Привет! Для сборника ответов на Часто Задаваемые Вопросы мы решили использовать идею wiki, поскольку, как нам кажется, нет смысла писать одному конкретному человеку FAQ для такого сайта, как Хабрахабр. Все равно останутся люди, у которых останутся вопросы. Посему, обращаюсь к читателям группы со следующим вопросом: какой wiki-движок из доступных, по-вашему, идеально подходит для составления «коллективного» ЧАВО по сайту?","['хабрахаб', 'wiki', 'FAQ', 'ЧАВО', 'механизм', 'движок']",['Habr']
2,https://habr.com/ru/post/2,Мы знаем много недоделок на сайте… но!,"Кроме неработающих и отсутствующих страниц, о которых мы знаем, есть ошибки о которых мы ничего не знаем. Чем они отличаются? Хм… трудный вопрос. Пишите обо всем, а мы разберемся! =) И ничего не забудем. Хабрахабр!","['ошибки', 'баги', 'bugs', 'error', 'warning']",['Habr']
4,https://habr.com/ru/post/4,"Маслов, Сокур и партнеры пиарят Google в России","Насколько я знаю, Google выбрал агентство «Маслов, Сокур и партнеры» для pr-сопровождения в России на местном рынке. Недавно они провели неформальную встречу с журналистами, а сегодня в Ведомостях была опубликована статья-страшилка: «Рамблер должен бояться».","['Google', 'Маслов', 'Сокур и партнеры', 'PR', 'сопровождение', 'страшилка', 'R']",['Чулан']
6,https://habr.com/ru/post/6,Подкасты на Хабрахабре,"Мы планируем добавить в раздел «тексты» возможность публиковать подкасты. Наполнение будет коллективным, как в колонках, с аналогичной системой публикации и трансляции анонсов на первой странице. Что думаете об этом? Мне кажется, идея хорошая. Сейчас есть достаточно блоггеров, и просто хороших людей, готовых публиковать подкасты на тему высоких технологий.","['хабрахабр', 'подкасты', 'mp3', 'контент', 'тексты']",['Habr']
7,https://habr.com/ru/post/7,Самопроизвольное разлогинивание,"У меня такое ощущение, что logout время от времени происходит самопроизвольно, несмотря на то, что чекбокс про логине включен. Возможно, это происходит при смене IP-адреса, но я не уверен.","['логин', 'login']",['Habr']
8,https://habr.com/ru/post/8,Неожиданная популярность ресурсов среди региональных аудиторий,"Иногда получается так, что интернет-сервис становится популярен в какой-то аудитории, для которой он вроде бы не создавался. Так получилось с Orkut, которым пользуются в основном латиноамериканцы, c LiveJournal, которым пользуется очень много российских пользователей, с протоколом телефонии SIP, который очень интересует индийцев и т.д. Интересно, а почему так происходит? Становились ли русскоязычные ресурсы популярными в одной или нескольких странах экс-СССР?","['социальные сети', 'Orkut', 'SIP', 'LiveJournal', 'регионы']",['Чулан']
9,https://habr.com/ru/post/9,А нужно ли удаление?,Ну и может быть редактирование постов? В принципе совсем не трудно сделать ссылку [удалить] у своих коментариев. Я даже скажу больше… оно уже реализовано… Нужно?,['удаление'],['Habr']
10,https://habr.com/ru/post/10,Пометки у новых комментариев,Почему бы не сделать пометки у новых комментариев к просмотренной ранее странице? Было бы круто! А то неуютно как-то.,"['предложение', 'комментарии']",['Habr']
11,https://habr.com/ru/post/11,Stand-along cообщества против сообществ в рамках социальных сетей,"Я вот тут подумал, смотря, скажем, на Комби: зачем надо создавать социальную сеть, чтобы потом там формировать сообщества? Ведь сразу возникает вопрос — откуда деньги? AdSense-like? Для русскоязычной аудитории — сомнительно. Конечно, Бегун может говорить о $1,5, но это — копейки, и меня даже эти цифры смущают… Единственно жизнеспособным подходом, имхо, является формирование однородного сообщества на отдельном сайте по признаку отношения к некой предметной области, и введение туда существующего (или создание, что — тоже вариант) нишевого бренда. В этом случае такой подход, во-первых — дешевле, во-вторых — контент контролируется лучше, чем в социальных сетях (почему — это отдельная огромная тема). В третьих — есть такой эффект — если сайт «только про это», то интереса у любителей «этого» он вызывает больше, чем сайт, который «и про это — тоже». В общем — время, конечно, покажет, но логика — великая вещь. :))","['сообщества', 'интернет-сообщество', 'социальные', 'сети', 'нишевой', 'бренд']",['Чулан']
12,https://habr.com/ru/post/12,Поиск по сайту,Сейчас работат поиск в текстах и профиле пользователя. Поиск в комментариях не работает еще. В группах и блоге тоже.,"['хабрахабр', 'поиск']",['Habr']
13,https://habr.com/ru/post/13,Рекомендации в профиле – что это такое?,"Мы планируем транслировать пользовательские рекомендации по следующим категориям сайтов: блоги, СМИ, социальные сети. Для чего это нужно? Во-первых, для сбора статистики. Во-вторых, нам интересно строить некий рейтинг пользовательских предпочтений. Вероятно, многим интересно будет узнать, какие блоги и СМИ чаще всего читают пользователи этого сайта, в каких сетях состоят, и так далее. Мы планируем спрашивать рекомендации по трем категориям сайтов (блоги, СМИ, социальные сети), но список может быть расширен, предлагайте :-)","['хабрахабр', 'рекомендации', 'рейтинг', 'предпочтения']",['Habr']
14,https://habr.com/ru/post/14,Миграция чистых социальных сетей в направлении stand-along сообществ,Тут мы будем давать примеры миграции первых во вторые и мимикрии первых под вторые. Пример первый: blog.it-studio.kiev.ua/?p=295 Образовательная социальная сеть.,"['сообщества', 'социальные', 'сети', 'меркетинг', 'новый', 'маркетинг', 'web', '2.0']",['Чулан']
17,https://habr.com/ru/post/17,Все домены Гугла,Занятный список: www.pronetadvertising.com/articles/googles-growing-list-of-domains.html Всего 520 доменов.,"['Google', 'доменные имена', '520']",['IT-компании']
18,https://habr.com/ru/post/18,Теги — тэги — таги,"В русском языке есть только слово «тег» (см. Грамоту.ру, Википедию, Лингво). На Хабре же используется «таг» для обозначения меток и «html-тэги». Может исправите? Или хотя бы только один вариант будете использовать.","['хабрахабр', 'ошибки', 'теги']",['Habr']
19,https://habr.com/ru/post/19,RSS комментариев,"Уже есть? Если есть — где кнопка? Если нет, будет? Если будет — когда?","['rss', 'комментарии']",['Habr']
20,https://habr.com/ru/post/20,Контекстная реклама на Хабре,Когда доделаете? Какие будут расценки?,"['хабрахабр', 'контекстная реклама']",['Чулан']
21,https://habr.com/ru/post/21,Ссылка на комментарии,"А можно на главной странице у новостей, у которых только заголовок выводится, кол-во комментариев сделать ссылкой на комментарии? Будет сильно удобнее.","['хабрахабр', 'комментарии']",['Habr']
22,https://habr.com/ru/post/22,Заголовки блогов — на главную,"странно, что блог живет своей жизнью, и его заголовки и кол-во каментов не отражаются на главной странице хабрахабра.","['блог', 'заголовок']",['Habr']
24,https://habr.com/ru/post/24,Кол-во комментов в RSS,А может вот такую штуку сделать — в RSS вместе с заголовком новости или поста будет отдаваться в скобках кол-во имеющихся комментариев? А вот если эта цифра будет обновляться при запросе?,"['комментарии', 'rss']",['Habr']
25,https://habr.com/ru/post/25,Twit на хабре,"Была бы полезна фича «twit». Вот, скажем, тут есть такой пользователь, не будем показывать пальцем, который в каждом треде умудряется написать по нескольку совершенно бессмысленных комментариев. Я бы его добавил в свой twit-лист, и его комментарии мне всегда бы отображались свёрнутыми. Что думаете?","['twit', 'мицголиоз']",['Habr']
26,https://habr.com/ru/post/26,Принятие трекбеков и пингбеков,"Было бы здорово, если бы вы добавили на Хабре возможность принимать трекбеки и пингбеки. Нам, читателям, это позволит узнавать подробности и мнения о новостях в сторннних блогах. Блоггерам — увеличить трафик. А Хабр выиграет, потому что большее кол-во блоггеров станет ссылаться на его новости.","['хабрахабр', 'трекбеки', 'пингбеки']",['Habr']
27,https://habr.com/ru/post/27,Владислав Улендеев о трафике с Яндекс.Маркет,"Чтобы оживить группу, публикую ответ исполнительного директора холдинга eHouse Владислава Улендеева, который не вошел в интервью. При всей своей мощи eHouse практически не использует трафик с поисковиков, в то время как все остальные интернет-магазины буквально сидят на трафике с "" Яндекс.Маркета"". Я спросил Владислава, почему eHouse не участвует в Маркете, и вот что он ответил: Ответ прост. Остальные не умею считать эффективность рекламы на «Яндекс Маркете». Реклама на «Яндексе» не эффективна. И никаких других причин не рекламироваться там нет. Мы умеем считать с точностью до цента эффективность рекламы на каждого посетителя и на каждый источник. Также, вы не правы о том, что мы не рекламируемся на поисковиках. Мы активно рекламируемся на Гугле. С него мы получаем реальных покупателей, а не роботов, которые кликают на ссылке в «Маркете». Мы пробовали несколько раз. Но результат работы с «Маркетом» плачевный. И не нужно здесь искать подводных камней. Их нет. Просто дорого и не эффективно. Итак, насколько верно утверждение, что реклама на «Яндекс.Маркет» не эффективна?","['электронная коммерция', 'Владислав Улендеев', 'эффективность', 'трафи']",['Чулан']
